IP,PORT
54.39.97.250,3128
51.15.219.4,3128
51.15.233.20,3128
51.158.79.229,3128
195.149.221.1,3128
27.111.18.210,48497
35.236.254.167,3128
202.3.72.177,43351
46.201.225.210,41319
84.53.247.204,53281
217.23.69.146,8080
35.245.81.18,3128
80.245.125.21,50249
195.162.64.27,42987
178.213.13.136,53281
91.215.195.143,31704
118.174.234.11,33208
185.189.199.75,23500
176.36.111.9,45329
54.38.110.35,47640
185.132.179.113,8080
190.18.207.58,53281
181.129.52.186,55842
185.189.208.145,34824
91.149.180.96,35833
190.56.24.78,57879
103.112.206.141,23500
190.158.248.253,60376
200.255.122.170,8080
113.130.126.212,49452
62.182.114.164,41174
46.180.156.230,38011
27.147.185.55,56992
54.37.21.29,3128
181.129.56.90,40541
179.231.1.28,8080
182.52.51.155,56959
35.245.19.74,3128
35.240.245.51,3128
34.73.0.174,3128
35.203.118.127,3128
45.123.26.146,53281
54.183.42.21,8118
45.226.48.101,60143
35.245.9.214,3128
89.216.48.230,44061
81.163.57.121,41258
181.129.50.162,50343
35.203.164.229,3128
125.26.7.120,43282
182.52.51.20,36262
36.89.183.245,34688
186.227.69.184,38164
169.239.48.162,57997
202.74.244.186,48852
202.57.37.197,35231
186.249.213.65,52018
35.203.58.192,3128
160.119.208.202,8080
103.219.140.187,48129
114.134.186.242,31166
103.28.220.73,53281
186.56.99.103,50543
193.238.98.206,52744
202.174.46.174,32707
119.15.103.114,38341
103.224.185.48,33553
212.126.124.130,36127
160.202.40.20,55655
213.58.202.70,54214
178.217.168.77,39329
118.96.175.196,8080
190.53.46.14,38525
118.174.220.39,45771
34.73.165.145,3128
201.49.110.44,8080
202.137.10.180,50001
96.87.184.101,43705
36.89.85.45,48549
118.174.232.234,44618
202.137.10.179,57338
154.117.146.139,44120
212.117.86.172,55455
109.101.139.126,57692
157.230.20.116,3128
34.74.252.70,3128
31.211.130.169,23500
35.203.27.234,3128
150.107.205.230,8181
81.163.54.58,41258
119.42.72.61,41234
195.91.132.20,19600
177.66.245.178,52856
118.174.220.148,54853
182.52.51.31,36634
191.7.213.242,50542
187.216.90.46,53281
213.226.255.24,52262
36.67.52.99,53281
76.76.76.74,53281
