'POST_ZIP','POST_ID','POST_URL','POST_DATE','POST_TITLE','POST_PRICE', 'TIMESTAMP'
10001,6914436360,https://newyork.craigslist.org/brk/cto/d/new-york-city-2009-honda-accord-ex/6914436360.html,2019-06-17 20:58,"**********2009 Honda Accord EX-L Coupe 2DR 4cyl**(Leather,Sunroof)****",$4500,1560871335.8685825
10001,6913407382,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2014-vw-tiguan-4motion-sel/6913407382.html,2019-06-16 14:18,2014 VW Tiguan 4motion SEL,$12400,1560871335.868647
10001,6911905642,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2004-subaru-perfect/6911905642.html,2019-06-14 11:31,2004 Subaru - perfect getaway car,$4000,1560871335.868677
10001,6911529783,https://newyork.craigslist.org/mnh/cto/d/buffalo-low-miles-volvo-4-cyl-last-year/6911529783.html,2019-06-13 18:54,"Low Miles VOLVO 4 Cyl 1995 940, Last Year of the Simple BOXY Vo Cf 240",$3500,1560871335.868704
10001,6910509582,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2011-bmw-328xi-sedan-4-dr/6910509582.html,2019-06-12 14:03,2011 BMW 328Xi Sedan 4 DR (with Navigation),$10000,1560871335.8687334
10001,6907916879,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2014-hyundai-accent/6907916879.html,2019-06-08 23:20,2014 HYUNDAI ACCENT HATCHBACK 6SPD MANUAL,$5900,1560871335.8687613
10001,6907847411,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2004-grand-cherokee-runs/6907847411.html,2019-06-08 20:18,2004 Grand Cherokee Runs Great in Perfect Condition,$4500,1560871335.8687882
10001,6904926419,https://newyork.craigslist.org/mnh/cto/d/new-york-city-lexus-rx-330/6904926419.html,2019-06-04 22:21,LEXUS RX 330,$5500,1560871335.8688166
10001,6904904963,https://newyork.craigslist.org/brk/cto/d/s-or-trade2005-bmw-z4-25i-sport-5spd/6904904963.html,2019-06-04 21:35,F/S or TRADE******2005 BMW Z4 2.5i SPORT  (5spd Stick Shift)********,$5500,1560871335.8688416
10001,6901047578,https://newyork.craigslist.org/mnh/cto/d/new-york-city-lexus-es-tlc-plates/6901047578.html,2019-05-30 17:15,Lexus ES 350 2017 TLC plates Excellent,$26750,1560871335.868871
10001,6899375538,https://newyork.craigslist.org/que/cto/d/new-york-city-1995-honda-del-sol/6899375538.html,2019-05-28 16:15,1995 Honda Del Sol,$999,1560871335.8688982
10001,6899016113,https://newyork.craigslist.org/brk/cto/d/new-york-city-2009-mercedes-benz-slk300/6899016113.html,2019-05-28 10:25,2009 MERCEDES BENZ SLK300 Convertible,$16000,1560871335.8689897
10001,6898917084,https://newyork.craigslist.org/mnh/cto/d/new-york-city-ford-transit-connect-xlt/6898917084.html,2019-05-28 07:46,Ford transit connect XLT 2010,$5500,1560871335.8690221
10001,6892962930,https://newyork.craigslist.org/mnh/cto/d/new-york-city-lease-takeover-on-2015/6892962930.html,2019-05-20 06:41,Lease takeover on 2015 Smart,$6500,1560871335.8690515
10001,6913104993,https://newjersey.craigslist.org/cto/d/new-york-city-2013-bmw-535xdrive/6913104993.html,2019-06-15 22:01,"2013 BMW 535xdrive M-PACKAGE, FULLY LOADED FOR SALE",$14500,1560871335.8690886
10002,6913699267,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2015-isuzu-box-truck/6913699267.html,2019-06-16 23:34,2015 Isuzu box truck,$2,1560871336.493777
10002,6910441555,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2011-kia-sedona-must-sell/6910441555.html,2019-06-12 12:53,2011 Kia Sedona must sell,$2650,1560871336.4938173
10002,6909804020,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2012-fiat-500-pop-miles/6909804020.html,2019-06-11 15:21,"2012 Fiat 500 Pop w/ 42,000 miles 🚗🚙",$4500,1560871336.4938447
10002,6909758031,https://newyork.craigslist.org/lgi/cto/d/new-york-city-2011-honda-accord-se/6909758031.html,2019-06-11 14:33,2011 Honda Accord se,$5750,1560871336.4938774
10002,6908539989,https://newyork.craigslist.org/mnh/ctd/d/2014-isuzu-npr-box-truck-dump-flatbed/6908539989.html,2019-06-09 23:52,2014 Isuzu Npr box Truck dump flatbed,$0,1560871336.4939036
10002,6908537325,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2015-isuzu-npr-box-truck/6908537325.html,2019-06-09 23:43,2015 Isuzu npr box truck,$1,1560871336.4939425
10002,6908359922,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2013-bmw-3-series-black/6908359922.html,2019-06-09 17:45,2013 BMW 3 Series Black 320i xDrive 38K miles,$12500,1560871336.4939718
10002,6905142080,https://newyork.craigslist.org/brx/ctd/d/new-york-city-2015-audi-q7/6905142080.html,2019-06-05 10:47,2015 Audi Q7,$1000,1560871336.4940026
10002,6904716830,https://newyork.craigslist.org/mnh/cto/d/new-york-city-chevrolet-el-camino-78-v8/6904716830.html,2019-06-04 16:49,Chevrolet El Camino '78 V8 Engine,$4500,1560871336.4940305
10002,6902331438,https://newyork.craigslist.org/mnh/ctd/d/2015-isuzu-npr-box-truck-dump-flatbed/6902331438.html,2019-06-01 12:38,2015 Isuzu Npr box Truck dump flatbed reefer,$0,1560871336.4940608
10002,6900181542,https://newyork.craigslist.org/jsy/ctd/d/new-york-city-2017-dodge-journey/6900181542.html,2019-05-29 15:58,2017 Dodge Journey,$399,1560871336.4940917
10002,6899926368,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2007-corolla-le-good/6899926368.html,2019-05-29 11:45,2007 Corolla LE Good Condition 114k miles $4500 OBO,$4500,1560871336.49412
10002,6899696985,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2014-isuzu-npr-hd-dump/6899696985.html,2019-05-29 01:27,2014 Isuzu npr hd dump truck,$1,1560871336.494155
10002,6899694852,https://newyork.craigslist.org/mnh/cto/d/2014-isuzu-npr-flatbed-rackbody/6899694852.html,2019-05-29 01:17,2014 Isuzu Npr Flatbed Rackbody,$1,1560871336.4941921
10002,6899690049,https://newyork.craigslist.org/mnh/cto/d/2015-isuzu-nqr-box-truck/6899690049.html,2019-05-29 00:56,2015 Isuzu Nqr Box Truck,$1,1560871336.49423
10002,6898421934,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2016-isuzu-npr-reefer/6898421934.html,2019-05-27 12:53,2016 Isuzu Npr Reefer Truck,$1,1560871336.494266
10002,6898385418,https://newyork.craigslist.org/mnh/ctd/d/2016-isuzu-npr-box-truck-dump-flatbed/6898385418.html,2019-05-27 12:10,2016 Isuzu Npr box Truck dump flatbed,$0,1560871336.4943044
10002,6892501293,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2015-isuzu-box-truck/6892501293.html,2019-05-19 12:48,2015 Isuzu box truck,$2,1560871336.4943442
10002,6893901320,https://longisland.craigslist.org/cto/d/new-york-city-2008-honda-accord-coupe-v6/6893901320.html,2019-05-21 15:47,2008 Honda Accord Coupe V6,$5420,1560871336.4943833
10003,6913513574,https://newyork.craigslist.org/que/ctd/d/new-york-city-white-dealer-plate/6913513574.html,2019-06-16 17:02,White Dealer Plate w/ Registration & Insurance Plates 718-705-2998,$1050,1560871337.0798647
10003,6911943951,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2011-kia-sedona-lx/6911943951.html,2019-06-14 12:10,2011 Kia Sedona lx,$2400,1560871337.0799298
10003,6909627758,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2006-toyota-rav4-mint/6909627758.html,2019-06-11 12:21,2006 Toyota RAV4 mint condition in&out runs 100% no problem,$5200,1560871337.079966
10003,6901819764,https://newyork.craigslist.org/mnh/cto/d/new-york-city-2005-bentley-arange/6901819764.html,2019-05-31 17:05,2005 Bentley arange T,$25000,1560871337.0800047
