zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
00601,18.18,-66.7522,Adjuntas,PR,Puerto Rico,TRUE,,18570,111.4,72001,Adjuntas,"{'72001':99.43,'72141':0.57}",FALSE,FALSE,America/Puerto_Rico
00602,18.3607,-67.1752,Aguada,PR,Puerto Rico,TRUE,,41520,523.7,72003,Aguada,{'72003':100},FALSE,FALSE,America/Puerto_Rico
00603,18.4544,-67.122,Aguadilla,PR,Puerto Rico,TRUE,,54689,667.9,72005,Aguadilla,{'72005':100},FALSE,FALSE,America/Puerto_Rico
00606,18.1672,-66.9383,Maricao,PR,Puerto Rico,TRUE,,6615,60.4,72093,Maricao,"{'72093':94.88,'72121':1.35,'72153':3.78}",FALSE,FALSE,America/Puerto_Rico
00610,18.2903,-67.1224,Anasco,PR,Puerto Rico,TRUE,,29016,311.9,72011,Añasco,"{'72003':0.55,'72011':99.45}",FALSE,FALSE,America/Puerto_Rico
00612,18.407,-66.708,Arecibo,PR,Puerto Rico,TRUE,,67010,382.7,72013,Arecibo,"{'72013':99.89,'72017':0.11}",FALSE,FALSE,America/Puerto_Rico
00616,18.4175,-66.6681,Bajadero,PR,Puerto Rico,TRUE,,11017,368.9,72013,Arecibo,{'72013':100},FALSE,FALSE,America/Puerto_Rico
00617,18.4412,-66.5592,Barceloneta,PR,Puerto Rico,TRUE,,24597,625.1,72017,Barceloneta,"{'72017':99.43,'72054':0.57}",FALSE,FALSE,America/Puerto_Rico
00622,17.9917,-67.1525,Boqueron,PR,Puerto Rico,TRUE,,7853,104.6,72023,Cabo Rojo,{'72023':100},FALSE,FALSE,America/Puerto_Rico
00623,18.0835,-67.1542,Cabo Rojo,PR,Puerto Rico,TRUE,,43061,437.8,72023,Cabo Rojo,{'72023':100},FALSE,FALSE,America/Puerto_Rico
00624,18.0646,-66.7182,Penuelas,PR,Puerto Rico,TRUE,,26241,234.7,72111,Peñuelas,"{'72111':92.53,'72113':7.47}",FALSE,FALSE,America/Puerto_Rico
00627,18.419,-66.8603,Camuy,PR,Puerto Rico,TRUE,,35159,292.8,72027,Camuy,{'72027':100},FALSE,FALSE,America/Puerto_Rico
00631,18.1856,-66.8333,Castaner,PR,Puerto Rico,TRUE,,1852,177.8,72081,Lares,"{'72001':32.99,'72081':67.01}",FALSE,FALSE,America/Puerto_Rico
00637,18.0798,-66.9427,Sabana Grande,PR,Puerto Rico,TRUE,,25287,283.4,72121,Sabana Grande,"{'72121':99.56,'72153':0.44}",FALSE,FALSE,America/Puerto_Rico
00638,18.289,-66.5151,Ciales,PR,Puerto Rico,TRUE,,18941,110.7,72039,Ciales,"{'72039':98.27,'72091':1.73}",FALSE,FALSE,America/Puerto_Rico
00641,18.2641,-66.7138,Utuado,PR,Puerto Rico,TRUE,,31191,128.8,72141,Utuado,"{'72001':0.21,'72141':99.79}",FALSE,FALSE,America/Puerto_Rico
00646,18.434,-66.2833,Dorado,PR,Puerto Rico,TRUE,,38199,712.5,72051,Dorado,"{'72051':99.89,'72143':0.11}",FALSE,FALSE,America/Puerto_Rico
00647,17.9661,-66.9438,Ensenada,PR,Puerto Rico,TRUE,,6172,156.7,72055,Guánica,"{'72055':98.88,'72079':1.12}",FALSE,FALSE,America/Puerto_Rico
00650,18.3432,-66.586,Florida,PR,Puerto Rico,TRUE,,14998,189.7,72054,Florida,"{'72013':1.51,'72017':1.91,'72039':1.13,'72054':83.61,'72141':11.84}",FALSE,FALSE,America/Puerto_Rico
00652,18.4554,-66.6063,Garrochales,PR,Puerto Rico,TRUE,,4715,263.2,72013,Arecibo,{'72013':100},FALSE,FALSE,America/Puerto_Rico
00653,17.9857,-66.8903,Guanica,PR,Puerto Rico,TRUE,,13307,337.1,72055,Guánica,{'72055':100},FALSE,FALSE,America/Puerto_Rico
00656,18.0528,-66.7918,Guayanilla,PR,Puerto Rico,TRUE,,21481,255.9,72059,Guayanilla,{'72059':100},FALSE,FALSE,America/Puerto_Rico
00659,18.4107,-66.7965,Hatillo,PR,Puerto Rico,TRUE,,41953,387.7,72065,Hatillo,{'72065':100},FALSE,FALSE,America/Puerto_Rico
00660,18.1342,-67.114,Hormigueros,PR,Puerto Rico,TRUE,,17250,587.4,72067,Hormigueros,{'72067':100},FALSE,FALSE,America/Puerto_Rico
00662,18.4621,-67.0144,Isabela,PR,Puerto Rico,TRUE,,43282,376.7,72071,Isabela,{'72071':100},FALSE,FALSE,America/Puerto_Rico
